URLs Downloaded, size, # of outlinks found, content-type
https://www.cnn.com/videos/politics/2018/09/28/sen-amy-klobuchar-kavanaugh-vote-response-sot-vpx.cnn,1762538,101,text/html
https://www.cnn.com/specials/vr/vr-archives,1755477,274,text/html
https://www.cnn.com/world,1777146,334,text/html
https://www.cnn.com/2018/09/29/asia/typhoon-trami-japan-wxc/index.html,1708073,188,text/html
https://www.cnn.com/style/article/shipping-container-architecture/index.html,218264,52,text/html
https://www.cnn.com/2018/09/12/politics/brett-kavanaugh-baseball-ticket-debt-washington-nationals/index.html,1549835,85,text/html
https://www.cnn.com/profiles/carl-azuz,1574931,179,text/html
https://www.cnn.com/style/article/es-devlin-uk-pavilion-dubai-expo-2020/index.html,239346,57,text/html
https://www.cnn.com/profiles/ed-lavandera-profile,1593278,198,text/html
https://www.cnn.com/asia,1619953,226,text/html
https://www.cnn.com/style/design,109996,60,text/html
https://www.cnn.com/specials/opinion/opinion-politics,2063702,573,text/html
https://www.cnn.com/style/article/australia-tallest-building-intl/index.html,151852,42,text/html
https://www.cnn.com/videos/politics/2018/09/29/trump-no-back-up-plan-kavanaugh-sot-nr-vpx.cnn,1765326,100,text/html
https://www.cnn.com/profiles/brianna-keilar-profile,1591360,197,text/html
https://www.cnn.com/style/architecture,110732,60,text/html
https://www.cnn.com/election/2018/primaries,119932,89,text/html
https://www.cnn.com/profiles/amara-walker,1592158,198,text/html
https://www.cnn.com/specials/cnn-investigations,1625516,235,text/html
https://www.cnn.com/2018/09/25/europe/first-man-prosecuted-france-anti-catcalling-law-intl/index.html,1710621,188,text/html
https://www.cnn.com/profiles/mj-lee,1629485,216,text/html
https://www.cnn.com/videos/politics/2018/09/29/alyssa-milano-kavanaugh-hearing-bpr-nr-vpx.cnn,1759758,99,text/html
https://www.cnn.com/2018/09/20/us/student-pilot-security-breach-orlando/index.html,1732913,193,text/html
https://www.cnn.com/health,1764601,331,text/html
https://www.cnn.com/style/autos,108854,59,text/html
https://www.cnn.com/specials/politics/congress-capitol-hill,1631653,163,text/html
https://www.cnn.com/2018/09/04/australia/sinead-mcnamara-yacht-death-intl/index.html,1595130,191,text/html
https://www.cnn.com/profiles/max-foster,1590598,198,text/html
https://www.cnn.com/profiles/jamie-gangel-profile,1589766,197,text/html
https://www.cnn.com/2018/09/28/uk/brexit-six-months-to-go-analysis-intl/index.html,1798416,226,text/html
https://www.cnn.com/uk,1601455,212,text/html
https://www.cnn.com/specials/tv/all-shows,1623434,246,text/html
https://www.cnn.com/style,328895,124,text/html
https://www.cnn.com/2018/09/28/world/brewdog-scofflaw-beer-trump-trnd/index.html,1592121,193,text/html
https://www.cnn.com/2018/09/21/world/james-ricketson-cambodia-jail-intl/index.html,1587326,187,text/html
https://www.cnn.com/style/article/cheburashka-soviet-mickey-mouse/index.html,161487,49,text/html
https://www.cnn.com/profiles/joan-biskupic,1636344,225,text/html
https://www.cnn.com/profiles/mike-galanos,1565269,173,text/html
https://www.cnn.com/election/2018/key-races,101020,29,text/html
https://www.cnn.com/profiles/andy-scholes,1633956,220,text/html
https://www.cnn.com/specials/cnn-underscored/explore/,113977,2,text/html
https://www.cnn.com/videos/politics/2018/09/29/senator-coons-flake-kavanaugh-vote-delay-sot-cpt-vpx.cnn,1771714,100,text/html
https://www.cnn.com/travel/article/patmos-island-greece/index.html,166699,56,text/html
https://www.cnn.com/profiles/frederik-pleitgen,1592944,198,text/html
https://www.cnn.com/travel/article/which-london-airport-pick/index.html,229433,94,text/html
https://www.cnn.com/2018/09/28/politics/kavanaugh-senate-judiciary-vote/index.html,1731431,98,text/html
https://www.cnn.com/us,1770725,338,text/html
https://www.cnn.com/2018/08/20/opinions/populist-skeptics-science-opinion-intl/index.html,1736350,203,text/html
https://www.cnn.com/opinions,1976354,463,text/html
https://www.cnn.com/entertainment/tv-shows,1544450,95,text/html
https://www.cnn.com/2018/09/28/politics/supreme-court-partisanship-kavanaugh/index.html,1767891,123,text/html
https://www.cnn.com/2018/09/29/europe/macedonia-name-referendum-nato-intl/index.html,1727687,198,text/html
https://www.cnn.com/profiles/jessica-schneider-profile,1592560,196,text/html
https://www.cnn.com/2018/09/27/politics/brett-kavanaugh-supreme-court-rosenstein-donald-trump/index.html,1796923,123,text/html
https://www.cnn.com/style/arts,109882,60,text/html
https://www.cnn.com/style/fashion,110465,60,text/html
https://www.cnn.com/profiles/coy-wire-profile,1590846,196,text/html
https://www.cnn.com/2018/09/27/europe/pyotr-verzilov-interview-intl/index.html,1716765,186,text/html
https://www.cnn.com/entertainment/movies,1564680,108,text/html
https://www.cnn.com/travel,129167,67,text/html
https://www.cnn.com/travel/article/azerbaijan-mud-volcanoes/index.html,157419,53,text/html
https://www.cnn.com/profiles/collette-richards,1606911,191,text/html
https://www.cnn.com/videos/politics/2018/09/29/liz-swisher-yale-classmate-sloppy-drunk-bts-cuomo-vpx.cnn,1773045,102,text/html
https://www.cnn.com/2018/09/27/politics/ginsburg-metoo-georgetown-law/index.html,1664395,82,text/html
https://www.cnn.com/2018/08/10/sport/winx-longines-rankings-no-1-spt-intl/index.html,1758812,203,text/html
https://www.cnn.com/profiles/miguel-marquez-profile,1594034,198,text/html
https://www.cnn.com/specials/cnn-underscored/lifestyle/,148548,2,text/html
https://www.cnn.com/specials/opinion/opinion-social-issues,1844762,453,text/html
https://www.cnn.com/entertainment,1584277,126,text/html
https://www.cnn.com/profiles/cyril-vanier-profile,1591686,197,text/html
https://www.cnn.com/travel/article/sheki-azerbaijan/index.html,159796,47,text/html
https://www.cnn.com/2018/09/03/politics/brett-kavanaugh-his-own-words-cnn-interviews/index.html,1732415,87,text/html
https://www.cnn.com/specials/us/crime-and-justice,1633982,232,text/html
https://www.cnn.com/profiles/alexandra-field-profile,1634907,219,text/html
https://www.cnn.com/email/subscription,873808,184,text/html
https://www.cnn.com/videos/politics/2018/09/29/flake-kavanaugh-vote-delay-kth-monologue-ac-vpx.cnn,1762116,101,text/html
https://www.cnn.com/profiles/ashley-fantz-profile,1641478,249,text/html
https://www.cnn.com/specials/videos/hln,1582538,200,text/html
https://www.cnn.com/2018/05/10/us/2018-atlantic-hurricane-season-fast-facts/index.html,1767233,218,text/html
https://www.cnn.com/specials/politics/president-donald-trump-45,1617663,154,text/html
https://www.cnn.com/2018/09/09/australia/olivia-newton-john-cancer-australian-intl/index.html,1779433,223,text/html
https://www.cnn.com/2018/09/25/europe/germany-catholic-church-abuse-intl/index.html,1794012,228,text/html
https://www.cnn.com/2018/09/26/politics/21-questions-brett-kavanaugh-under-oath/index.html,1758178,136,text/html
https://www.cnn.com/specials/health/food-diet,1599950,211,text/html
https://www.cnn.com/2018/09/20/us/house-gutting-hurricane-trnd/index.html,1586691,201,text/html
