18/10/19 08:45:28 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.10-hadoop2
18/10/19 08:45:29 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-1-m/10.138.0.3:8032
18/10/19 08:45:30 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/10/19 08:45:31 INFO input.FileInputFormat: Total input files to process : 74
18/10/19 08:45:32 INFO mapreduce.JobSubmitter: number of splits:74
18/10/19 08:45:32 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1539660100403_0008
18/10/19 08:45:32 INFO impl.YarnClientImpl: Submitted application application_1539660100403_0008
18/10/19 08:45:32 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-1-m:8088/proxy/application_1539660100403_0008/
18/10/19 08:45:32 INFO mapreduce.Job: Running job: job_1539660100403_0008
18/10/19 08:45:40 INFO mapreduce.Job: Job job_1539660100403_0008 running in uber mode : false
18/10/19 08:57:21 INFO mapreduce.Job:  map 81% reduce 0%
18/10/19 08:57:31 INFO mapreduce.Job:  map 82% reduce 0%
18/10/19 08:57:34 INFO mapreduce.Job:  map 83% reduce 0%
18/10/19 08:57:35 INFO mapreduce.Job:  map 84% reduce 0%
18/10/19 08:57:42 INFO mapreduce.Job:  map 86% reduce 0%
18/10/19 08:58:10 INFO mapreduce.Job:  map 87% reduce 0%
18/10/19 08:58:16 INFO mapreduce.Job:  map 88% reduce 0%
18/10/19 08:58:24 INFO mapreduce.Job:  map 89% reduce 0%
18/10/19 08:58:28 INFO mapreduce.Job:  map 90% reduce 0%
18/10/19 08:58:37 INFO mapreduce.Job:  map 91% reduce 0%
18/10/19 08:58:39 INFO mapreduce.Job:  map 92% reduce 0%
18/10/19 08:58:48 INFO mapreduce.Job:  map 93% reduce 0%
18/10/19 08:59:05 INFO mapreduce.Job:  map 94% reduce 0%
18/10/19 08:59:09 INFO mapreduce.Job:  map 96% reduce 0%
18/10/19 08:59:21 INFO mapreduce.Job:  map 97% reduce 0%
18/10/19 08:59:28 INFO mapreduce.Job:  map 98% reduce 0%
18/10/19 08:59:35 INFO mapreduce.Job:  map 99% reduce 0%
18/10/19 08:59:41 INFO mapreduce.Job:  map 100% reduce 0%
18/10/19 08:59:42 INFO mapreduce.Job:  map 100% reduce 3%
18/10/19 08:59:44 INFO mapreduce.Job:  map 100% reduce 10%
18/10/19 09:00:00 INFO mapreduce.Job:  map 100% reduce 12%
18/10/19 09:00:06 INFO mapreduce.Job:  map 100% reduce 15%
18/10/19 09:00:08 INFO mapreduce.Job:  map 100% reduce 16%
18/10/19 09:00:14 INFO mapreduce.Job:  map 100% reduce 20%
18/10/19 09:00:20 INFO mapreduce.Job:  map 100% reduce 24%
18/10/19 09:00:30 INFO mapreduce.Job:  map 100% reduce 25%
18/10/19 09:00:32 INFO mapreduce.Job:  map 100% reduce 26%
18/10/19 09:00:38 INFO mapreduce.Job:  map 100% reduce 27%
18/10/19 09:00:42 INFO mapreduce.Job:  map 100% reduce 28%
18/10/19 09:00:44 INFO mapreduce.Job:  map 100% reduce 29%
18/10/19 09:00:50 INFO mapreduce.Job:  map 100% reduce 37%
18/10/19 09:00:54 INFO mapreduce.Job:  map 100% reduce 44%
18/10/19 09:00:56 INFO mapreduce.Job:  map 100% reduce 48%
18/10/19 09:01:02 INFO mapreduce.Job:  map 100% reduce 52%
18/10/19 09:01:12 INFO mapreduce.Job:  map 100% reduce 53%
18/10/19 09:01:14 INFO mapreduce.Job:  map 100% reduce 55%
18/10/19 09:01:18 INFO mapreduce.Job:  map 100% reduce 57%
18/10/19 09:01:20 INFO mapreduce.Job:  map 100% reduce 60%
18/10/19 09:01:26 INFO mapreduce.Job:  map 100% reduce 63%
18/10/19 09:01:32 INFO mapreduce.Job:  map 100% reduce 64%
18/10/19 09:01:38 INFO mapreduce.Job:  map 100% reduce 65%
18/10/19 09:01:44 INFO mapreduce.Job:  map 100% reduce 66%
18/10/19 09:01:49 INFO mapreduce.Job:  map 100% reduce 69%
18/10/19 09:01:50 INFO mapreduce.Job:  map 100% reduce 70%
18/10/19 09:01:55 INFO mapreduce.Job:  map 100% reduce 73%
18/10/19 09:01:56 INFO mapreduce.Job:  map 100% reduce 74%
18/10/19 09:02:01 INFO mapreduce.Job:  map 100% reduce 75%
18/10/19 09:02:02 INFO mapreduce.Job:  map 100% reduce 76%
18/10/19 09:02:08 INFO mapreduce.Job:  map 100% reduce 77%
